idTitre:ID,artiste,nomChanson,:LABEL
t372,Jeanne Mas,En rouge et noir,Titre
t373,Jeanne Moreau,Le tourbillon,Titre
t374,Jeanne Moreau,J’ai la mémoire qui flanche,Titre
t375,Jean-Pierre François,Je te survivrai,Titre
t376,Jean-Pierre Madère,Macumba,Titre
t377,Jenifer,Ma révolution,Titre
t378,Jenifer,Je danse ,Titre
t379,Jenifer,Donne-moi le temps,Titre
t380,Jenifer,J’attends l’amour,Titre
t381,Jenifer,Au soleil,Titre
t382,Jenifer,Sur le fil,Titre
t383,Jenifer,Des mots qui résonnent,Titre
t384,Jesse Garon,C’est lundi,Titre
t385,Joe Dassin,Dans les yeux d’Emilie,Titre
t386,Joe Dassin,Il était une fois nous deux,Titre
t387,Joe Dassin,L’Amérique,Titre
t388,Joe Dassin,Le petit pain au chocolat,Titre
t389,Joe Dassin,La fleur aux dents,Titre
t390,Joe Dassin,Et si tu n’existais pas,Titre
t391,Joe Dassin,A toi,Titre
t392,Joe Dassin,Salut les amoureux,Titre
t393,Joe Dassin,Les Champs-Elysées,Titre
t394,Joelle Ursull,White and black blues,Titre
t395,Johnny Hallyday,Retiens la nuit,Titre
t396,Johnny Hallyday,Oh ma jolie Sarah,Titre
t397,Johnny Hallyday,Si j’étais charpentier,Titre
t398,Johnny Hallyday,Noir c’est noir,Titre
t399,Johnny Hallyday,Le bon temps du rock’nroll,Titre
t400,Johnny Hallyday,Allumer le feu,Titre
t401,Johnny Hallyday,Requiem pour un fou,Titre
t402,Johnny Hallyday,Le pénitencier,Titre
t403,Johnny Hallyday,Que je t’aime,Titre
t404,Johnny Hallyday,Vivre pour le meilleur,Titre
t405,Johnny Hallyday,J’oublierai ton nom,Titre
t406,Johnny Hallyday,L’envie,Titre
t407,Johnny Hallyday,Derrière l’amour,Titre
t408,Johnny Hallyday,La musique que j'aime,Titre
t409,Johnny Hallyday,Sang pour sang,Titre
t410,Joyce Jonathan,Ca ira,Titre
t411,Julien Clerc,Melissa,Titre
t412,Julien Clerc,Lili voulait aller danser,Titre
t413,Julien Clerc,Cœur de Rocker,Titre
t414,Julien Clerc,Laissons entrer le soleil,Titre
t415,Julien Clerc,Si on chantait,Titre
t416,Julien Clerc,La fille aux bas nylon,Titre
t417,Julien Clerc,Fais-moi une place,Titre
t418,Julien Clerc,Ma préférence,Titre
t419,Julien Clerc,Femmes je vous aime,Titre
t420,Julien Doré,Les limites,Titre
t421,Julien Doré,Kiss me forever,Titre
t422,Julie Pietri,Eve lève toi ,Titre
t423,Juliette Gréco,Déshabillez-moi,Titre
t424,Julie Zenatti,Si je m’en sors,Titre
